ticker,sector
ADANIENT,Energy
ADANIPORTS,Industrials
APOLLOHOSP,Healthcare
ASIANPAINT,Basic Materials
AXISBANK,Financial Services
BAJAJ-AUTO,Consumer Cyclical
BAJAJFINSV,Financial Services
BAJFINANCE,Financial Services
BEL,Industrials
BHARTIARTL,Communication Services
BPCL,Energy
BRITANNIA,Consumer Defensive
CIPLA,Healthcare
COALINDIA,Energy
DRREDDY,Healthcare
EICHERMOT,Consumer Cyclical
GRASIM,Basic Materials
HCLTECH,Technology
HDFCBANK,Financial Services
HDFCLIFE,Financial Services
HEROMOTOCO,Consumer Cyclical
HINDALCO,Basic Materials
HINDUNILVR,Consumer Defensive
ICICIBANK,Financial Services
INDUSINDBK,Financial Services
INFY,Technology
ITC,Consumer Defensive
JSWSTEEL,Basic Materials
KOTAKBANK,Financial Services
LT,Industrials
M&M,Consumer Cyclical
MARUTI,Consumer Cyclical
NESTLEIND,Consumer Defensive
NTPC,Utilities
ONGC,Energy
POWERGRID,Utilities
RELIANCE,Energy
SBILIFE,Financial Services
SBIN,Financial Services
SHRIRAMFIN,Financial Services
SUNPHARMA,Healthcare
TATACONSUM,Consumer Defensive
TATAMOTORS,Consumer Cyclical
TATASTEEL,Basic Materials
TCS,Technology
TECHM,Technology
TITAN,Consumer Cyclical
TRENT,Consumer Cyclical
ULTRACEMCO,Basic Materials
WIPRO,Technology
